asin,title,author,narrator,runtime_minutes,runtime_hours,price_usd,star_rating,review_count,value_score,cost_per_hour_usd,credit_worth_ratio,worth_using_credit,categories,cover_image_url,detail_page_url
B0797FYNDC,Pet Sematary,Stephen King,Michael C. Hall,941,15.68,16.93,5.0,2406,4.63,1.08,1.13,Yes,Horror | Supernatural | Fiction,https://m.media-amazon.com/images/I/51F-mHChJ-L._SL500_.jpg,https://www.amazon.com/dp/B0797FYNDC
1250774039,Wolf Hall,Hilary Mantel,Ben Miles,1512,25.20,24.51,4.5,156,4.63,0.97,1.64,Yes,Historical Fiction | Fiction | Biography,https://m.media-amazon.com/images/I/41Ajzh1tcDL._SL500_.jpg,https://www.amazon.com/dp/1250774039
B004CNGLYA,The 4-Hour Body,Timothy Ferriss,Timothy Ferriss,1860,31.00,29.99,4.4,14300,4.55,0.97,2.01,Yes,Self-Help | Health | Non-Fiction,https://m.media-amazon.com/images/I/51DzQS8OpnL._SL500_.jpg,https://www.amazon.com/dp/B004CNGLYA
FINAL_623742000,The Handmaids Tale,Margaret Atwood,,960,16.00,14.97,4.2,1516,4.49,0.94,1.00,Yes,Dystopian | Fiction | Classic,,
B002V1A2EA,The Return of the King,J.R.R. Tolkien,Rob Inglis,1140,19.00,20.99,4.9,91200,4.44,1.10,1.40,Yes,Fantasy | Classic | Fiction,https://m.media-amazon.com/images/I/61zqaL0LISL._SL500_.jpg,https://www.amazon.com/dp/B002V1A2EA
B002V0M190,Under the Dome,Stephen King,Esparanza,2040,34.00,32.99,4.3,26800,4.43,0.97,2.21,Yes,Horror | Science Fiction | Fiction,https://m.media-amazon.com/images/I/41031cyN0-L._SL500_.jpg,https://www.amazon.com/dp/B002V0M190
B07Q3NN5JK,The Blade Itself,Joe Abercrombie,Steven Pacey,1380,23.00,23.99,4.6,18300,4.41,1.04,1.60,Yes,Fantasy | Fiction,https://m.media-amazon.com/images/P/B07Q3NN5JK._SL500_.jpg,https://www.amazon.com/dp/B07Q3NN5JK
B0036IU752,The Blade Itself,Joe Abercrombie,Steven Pacey,1380,23.00,23.99,4.6,18300,4.41,1.04,1.60,Yes,Fantasy | Fiction,https://m.media-amazon.com/images/P/B0036IU752._SL500_.jpg,https://www.amazon.com/dp/B0036IU752
0593163389,The Lies of Locke Lamora,Scott Lynch,Michael Page,1380,23.00,23.99,4.6,22700,4.41,1.04,1.60,Yes,Fantasy | Fiction,https://m.media-amazon.com/images/I/51SUOw0KeOL._SL500_.jpg,https://www.amazon.com/dp/0593163389
B006LPIVL8,A Feast for Crows,George R.R. Martin,Roy Dotrice,1860,31.00,30.99,4.4,48200,4.40,1.00,2.07,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/51RZweAZmiL._SL500_.jpg,https://www.amazon.com/dp/B006LPIVL8
B012BNY8RY,Six of Crows,Leigh Bardugo,"Jay Snyder, Brandon Rubin, Fred Berman, Lauren Fortgang, Roger Clark, Elizabeth Evans, Tristan Morris",904,15.07,15.40,4.5,1474,4.40,1.02,1.03,Yes,Fantasy | Young Adult | Fiction,https://m.media-amazon.com/images/I/51BnGrf9qQL._SL500_.jpg,https://www.amazon.com/dp/B012BNY8RY
B002UUKWCY,Snow Crash,Neal Stephenson,Jonathan Davis,1023,17.05,15.55,4.0,1388,4.39,0.91,1.04,Yes,Science Fiction | Cyberpunk | Fiction,https://m.media-amazon.com/images/I/51F-1GJA2ML._SL500_.jpg,https://www.amazon.com/dp/B002UUKWCY
B0036JVO6G,The Da Vinci Code,Dan Brown,Paul Michael,1019,16.98,17.53,4.5,719,4.36,1.03,1.17,Yes,Mystery | Thriller | Fiction,https://m.media-amazon.com/images/I/41-Oo4jkj1L._SL500_.jpg,https://www.amazon.com/dp/B0036JVO6G
B00HCQCGJ8,The Name of the Rose,Umberto Eco,"Sean Barrett, Neville Jason, Nicholas Rowe",1265,21.08,21.86,4.5,216,4.34,1.04,1.46,Yes,Historical Fiction | Mystery | Fiction,https://m.media-amazon.com/images/I/51krfPoxS8L._SL500_.jpg,https://www.amazon.com/dp/B00HCQCGJ8
B0DKVMNQDB,Best Served Cold,Joe Abercrombie,Steven Pacey,1380,23.00,23.99,4.5,16200,4.31,1.04,1.60,Yes,Fantasy | Fiction,https://m.media-amazon.com/images/I/51MCn06W4WL._SL500_.jpg,https://www.amazon.com/dp/B0DKVMNQDB
0008487286,The Two Towers,J.R.R. Tolkien,Rob Inglis,1020,17.00,18.99,4.8,87600,4.30,1.12,1.27,Yes,Fantasy | Classic | Fiction,https://m.media-amazon.com/images/I/61YMnN7VzmL._SL500_.jpg,https://www.amazon.com/dp/0008487286
B002V1OF70,Dune,Frank Herbert,"Scott Brick, Orlagh Cassidy, Ilyana Kadushin, cast",1290,21.50,22.99,4.6,51800,4.30,1.07,1.54,Yes,Science Fiction | Classic | Fiction,https://m.media-amazon.com/images/I/41rrXYM-wHL._SL500_.jpg,https://www.amazon.com/dp/B002V1OF70
B074TXRQDM,CATCH-22,Joseph Heller,Jay O. Sanders,1198,19.97,20.91,4.5,407,4.30,1.05,1.40,Yes,Fiction | Humor | Classic,https://m.media-amazon.com/images/I/51d2mbYwEkL._SL500_.jpg,https://www.amazon.com/dp/B074TXRQDM
B005TKKCWC,"Thinking, Fast and Slow",Daniel Kahneman,Patrick Egan,1200,20.00,20.99,4.5,35600,4.29,1.05,1.40,Yes,Psychology | Business | Non-Fiction,https://m.media-amazon.com/images/I/41JgsMOR9wL._SL500_.jpg,https://www.amazon.com/dp/B005TKKCWC
B0085XRNWM,Gone Girl,Gillian Flynn,"Julia Whelan, Kirby Heyborne",1158,19.30,19.99,4.3,47800,4.15,1.04,1.34,Yes,Thriller | Mystery | Fiction,https://m.media-amazon.com/images/I/41x6HtLdEhL._SL500_.jpg,https://www.amazon.com/dp/B0085XRNWM
